date,bases,open_access_bases,bytes,open_access_bytes
12/02/2009,1.08941E+13,1.05512E+13,3.89028E+13,3.85296E+13
12/03/2009,1.09048E+13,1.05619E+13,3.89363E+13,3.85631E+13
12/04/2009,1.09049E+13,1.05619E+13,3.89364E+13,3.85633E+13
12/07/2009,1.09113E+13,1.05684E+13,3.89452E+13,3.8572E+13
12/08/2009,1.09288E+13,1.05859E+13,3.89643E+13,3.85911E+13
12/09/2009,1.09294E+13,1.05864E+13,3.89651E+13,3.85919E+13
12/10/2009,1.09394E+13,1.05964E+13,3.89955E+13,3.86223E+13
12/11/2009,1.10522E+13,1.07093E+13,3.91507E+13,3.87775E+13
12/13/2009,1.10522E+13,1.07093E+13,3.91507E+13,3.87775E+13
12/14/2009,1.10675E+13,1.07245E+13,3.91689E+13,3.87958E+13
12/15/2009,1.12926E+13,1.09497E+13,3.94058E+13,3.90326E+13
12/16/2009,1.1352E+13,1.1009E+13,3.94689E+13,3.90957E+13
12/17/2009,1.20859E+13,1.1743E+13,4.02321E+13,3.98589E+13
12/18/2009,1.21654E+13,1.18224E+13,4.03198E+13,3.99466E+13
12/19/2009,1.21656E+13,1.18227E+13,4.03201E+13,3.99469E+13
12/21/2009,1.22066E+13,1.18636E+13,4.03627E+13,3.99895E+13
